Country,DAA,YearMon,timeID,unitID,post_treat,treated
CZ,33.84331944444445,2019-6,54,4,0,0
CZ,42.04864247311828,2019-7,55,4,0,0
CZ,39.77028225806452,2019-8,56,4,0,0
CZ,39.730333333333334,2019-9,57,4,0,0
CZ,38.72966397849462,2019-10,58,4,0,0
CZ,41.989111111111114,2019-11,59,4,0,0
CZ,37.26920698924731,2019-12,60,4,0,0
CZ,41.811236559139786,2020-1,61,4,0,0
CZ,30.537887931034483,2020-2,62,4,0,0
CZ,25.414771505376343,2020-3,63,4,0,0
CZ,19.243861111111112,2020-4,64,4,0,0
CZ,18.096465053763442,2020-5,65,4,0,0
CZ,26.342930555555554,2020-6,66,4,0,0
CZ,32.76584677419355,2020-7,67,4,0,0
CZ,34.58119623655914,2020-8,68,4,0,0
CZ,44.89340277777778,2020-9,69,4,0,0
CZ,36.35493279569893,2020-10,70,4,0,0
CZ,41.67679166666667,2020-11,71,4,0,0
CZ,51.49127688172043,2020-12,72,4,0,0
CZ,56.15735215053763,2021-1,73,4,0,0
CZ,50.676770833333336,2021-2,74,4,0,0
CZ,53.73635752688172,2021-3,75,4,0,0
CZ,60.27701388888889,2021-4,76,4,0,0
CZ,59.28520161290322,2021-5,77,4,0,0
CZ,75.14163888888889,2021-6,78,4,0,0
CZ,84.99873655913979,2021-7,79,4,0,0
CZ,84.99360215053764,2021-8,80,4,0,0
CZ,129.7106388888889,2021-9,81,4,0,0
CZ,140.62444892473118,2021-10,82,4,0,0
CZ,180.30654166666667,2021-11,83,4,0,0
CZ,228.58809139784947,2021-12,84,4,0,0
CZ,179.7228494623656,2022-1,85,4,0,0
CZ,155.02738095238095,2022-2,86,4,0,0
CZ,259.82073924731185,2022-3,87,4,0,0
CZ,174.35498611111112,2022-4,88,4,0,0
CZ,189.02029569892474,2022-5,89,4,0,0
CZ,224.9646111111111,2022-6,90,4,1,0
CZ,319.6414112903226,2022-7,91,4,1,0
CZ,476.72727150537634,2022-8,92,4,1,0
CZ,364.4497083333333,2022-9,93,4,1,0
CZ,168.04147849462365,2022-10,94,4,1,0
CZ,197.07526388888888,2022-11,95,4,1,0
CZ,250.41262388966805,2022-12,96,4,1,0
DE,30.748883928571427,2015-1,1,5,0,0
DE,36.694181547619046,2015-2,2,5,0,0
DE,31.297836021505375,2015-3,3,5,0,0
DE,29.77859722222222,2015-4,4,5,0,0
DE,25.330389784946238,2015-5,5,5,0,0
DE,30.10973611111111,2015-6,6,5,0,0
DE,34.979677419354836,2015-7,7,5,0,0
DE,31.61340053763441,2015-8,8,5,0,0
DE,31.88861111111111,2015-9,9,5,0,0
DE,39.368897849462364,2015-10,10,5,0,0
DE,32.381680555555555,2015-11,11,5,0,0
DE,27.785564516129032,2015-12,12,5,0,0
DE,29.02537634408602,2016-1,13,5,0,0
DE,21.998419540229886,2016-2,14,5,0,0
DE,24.299059139784944,2016-3,15,5,0,0
DE,24.210125,2016-4,16,5,0,0
DE,22.550860215053763,2016-5,17,5,0,0
DE,27.704638888888887,2016-6,18,5,0,0
DE,27.181115591397848,2016-7,19,5,0,0
DE,27.18172043010753,2016-8,20,5,0,0
DE,30.51076388888889,2016-9,21,5,0,0
DE,37.14176075268817,2016-10,22,5,0,0
DE,38.21348611111111,2016-11,23,5,0,0
DE,37.47005376344086,2016-12,24,5,0,0
DE,52.40514784946237,2017-1,25,5,0,0
DE,39.68098214285714,2017-2,26,5,0,0
DE,31.69116935483871,2017-3,27,5,0,0
DE,28.721180555555556,2017-4,28,5,0,0
DE,30.61010752688172,2017-5,29,5,0,0
DE,30.004180555555557,2017-6,30,5,0,0
DE,33.00557795698925,2017-7,31,5,0,0
DE,30.855887096774193,2017-8,32,5,0,0
DE,34.298097222222225,2017-9,33,5,0,0
DE,28.288655913978495,2017-10,34,5,0,0
DE,40.379,2017-11,35,5,0,0
DE,30.710497311827957,2017-12,36,5,0,0
DE,29.500860215053763,2018-1,37,5,0,0
DE,40.12276785714286,2018-2,38,5,0,0
DE,37.35938172043011,2018-3,39,5,0,0
DE,31.96075,2018-4,40,5,0,0
DE,33.65854838709677,2018-5,41,5,0,0
DE,42.39336111111111,2018-6,42,5,0,0
DE,49.58970430107527,2018-7,43,5,0,0
DE,56.215537634408605,2018-8,44,5,0,0
DE,54.835,2018-9,45,5,0,0
DE,53.08212365591398,2018-10,46,5,0,0
DE,56.68083333333333,2018-11,47,5,0,0
DE,48.110604838709676,2018-12,48,5,0,0
DE,49.413844086021506,2019-1,49,5,0,0
DE,42.814613095238094,2019-2,50,5,0,0
DE,30.614852150537633,2019-3,51,5,0,0
DE,36.97281944444445,2019-4,52,5,0,0
DE,37.83208333333333,2019-5,53,5,0,0
DE,32.50445833333333,2019-6,54,5,0,0
DE,39.71306451612903,2019-7,55,5,0,0
DE,36.81869623655914,2019-8,56,5,0,0
DE,35.76566666666667,2019-9,57,5,0,0
DE,36.94754032258064,2019-10,58,5,0,0
DE,41.00483333333333,2019-11,59,5,0,0
DE,31.970618279569894,2019-12,60,5,0,0
DE,34.97870967741935,2020-1,61,5,0,0
DE,21.91183908045977,2020-2,62,5,0,0
DE,22.519314516129032,2020-3,63,5,0,0
DE,17.049194444444446,2020-4,64,5,0,0
DE,17.604879032258065,2020-5,65,5,0,0
DE,26.229166666666668,2020-6,66,5,0,0
DE,30.07494623655914,2020-7,67,5,0,0
DE,34.88970430107527,2020-8,68,5,0,0
DE,43.67809722222222,2020-9,69,5,0,0
DE,33.955900537634406,2020-10,70,5,0,0
DE,38.79651388888889,2020-11,71,5,0,0
DE,43.54505376344086,2020-12,72,5,0,0
DE,52.793198924731186,2021-1,73,5,0,0
DE,48.70690476190476,2021-2,74,5,0,0
DE,47.18168010752688,2021-3,75,5,0,0
DE,53.657152777777775,2021-4,76,5,0,0
DE,53.33150537634408,2021-5,77,5,0,0
DE,74.13072222222222,2021-6,78,5,0,0
DE,81.29489247311828,2021-7,79,5,0,0
DE,82.81185483870968,2021-8,80,5,0,0
DE,128.33577777777776,2021-9,81,5,0,0
DE,139.54338709677418,2021-10,82,5,0,0
DE,176.2458472222222,2021-11,83,5,0,0
DE,220.96862321250416,2021-12,84,5,0,0
DE,167.8745564516129,2022-1,85,5,0,0
DE,128.7774107142857,2022-2,86,5,0,0
DE,251.75978494623655,2022-3,87,5,0,0
DE,166.00181944444444,2022-4,88,5,0,0
DE,177.50618279569892,2022-5,89,5,0,0
DE,218.1820138888889,2022-6,90,5,1,0
DE,315.2624865591398,2022-7,91,5,1,0
DE,465.51416666666665,2022-8,92,5,1,0
DE,344.9385555555556,2022-9,93,5,1,0
DE,152.6110483870968,2022-10,94,5,1,0
DE,173.928,2022-11,95,5,1,0
DE,251.22273492286115,2022-12,96,5,1,0
DK,27.451008064516127,2015-1,1,6,0,0
DK,30.096629464285716,2015-2,2,6,0,0
DK,26.987143817204302,2015-3,3,6,0,0
DK,26.01045138888889,2015-4,4,6,0,0
DK,22.7228561827957,2015-5,5,6,0,0
DK,20.323611111111113,2015-6,6,6,0,0
DK,13.700557795698925,2015-7,7,6,0,0
DK,22.94616935483871,2015-8,8,6,0,0
DK,23.255479166666667,2015-9,9,6,0,0
DK,26.544596774193547,2015-10,10,6,0,0
DK,25.597944444444444,2015-11,11,6,0,0
DK,19.26883064516129,2015-12,12,6,0,0
DK,27.97171370967742,2016-1,13,6,0,0
DK,18.86925287356322,2016-2,14,6,0,0
DK,21.47649865591398,2016-3,15,6,0,0
DK,22.083159722222224,2016-4,16,6,0,0
DK,23.932331989247313,2016-5,17,6,0,0
DK,31.146618055555557,2016-6,18,6,0,0
DK,27.886780913978495,2016-7,19,6,0,0
DK,28.882298387096775,2016-8,20,6,0,0
DK,29.983256944444445,2016-9,21,6,0,0
