unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
NL,6.3926880372641,5,0.20833333333333334,72,IGD,ES,FALSE
NO,0.706350198657078,24,1,72,IGD,ES,FALSE
PL,1.07428211183261,22,0.9166666666666666,72,IGD,ES,FALSE
RO,1.06496219104463,23,0.9583333333333334,72,IGD,ES,FALSE
SE,4.39471089486051,9,0.375,72,IGD,ES,FALSE
SI,1.99753883396969,20,0.8333333333333334,72,IGD,ES,FALSE
SK,2.31904034447958,16,0.6666666666666666,72,IGD,ES,FALSE
AT,1.13813875576179,21,0.875,72,FOOD,ES,FALSE
BE,2.42495680283,12,0.5,72,FOOD,ES,FALSE
BG,1.94026023238039,17,0.7083333333333334,72,FOOD,ES,FALSE
CZ,5.19838972748859,3,0.125,72,FOOD,ES,FALSE
DE,3.31310067624103,8,0.3333333333333333,72,FOOD,ES,FALSE
DK,2.75305477865376,9,0.375,72,FOOD,ES,FALSE
EE,1.95463663198802,16,0.6666666666666666,72,FOOD,ES,FALSE
GR,0.670453013965804,24,1,72,FOOD,ES,FALSE
ES,1.39142668758312,20,0.8333333333333334,72,FOOD,ES,FALSE
FI,0.89355480461373,23,0.9583333333333334,72,FOOD,ES,FALSE
HR,1.79232369851263,19,0.7916666666666666,72,FOOD,ES,FALSE
HU,3.78828248620883,6,0.25,72,FOOD,ES,FALSE
IE,1.98675245514238,15,0.625,72,FOOD,ES,FALSE
IT,1.92359233536171,18,0.75,72,FOOD,ES,FALSE
LT,2.08250002586798,14,0.5833333333333334,72,FOOD,ES,FALSE
LU,8.86895062441653,1,0.041666666666666664,72,FOOD,ES,FALSE
LV,2.62806763158178,10,0.4166666666666667,72,FOOD,ES,FALSE
NL,2.2511697181408,13,0.5416666666666666,72,FOOD,ES,FALSE
NO,0.93755234276218,22,0.9166666666666666,72,FOOD,ES,FALSE
PL,4.86398305210079,4,0.16666666666666666,72,FOOD,ES,FALSE
RO,7.55676072474452,2,0.08333333333333333,72,FOOD,ES,FALSE
SE,3.72348222001,7,0.2916666666666667,72,FOOD,ES,FALSE
SI,2.54278464698987,11,0.4583333333333333,72,FOOD,ES,FALSE
SK,4.7012262125043,5,0.20833333333333334,72,FOOD,ES,FALSE
AT,20.6374827239844,16,0.6666666666666666,72,NRG,ES,FALSE
BE,3.35063265184768,14,0.5833333333333334,72,NRG,ES,FALSE
BG,12.7261927199134,19,0.7916666666666666,72,NRG,ES,FALSE
CZ,4.87193006019244,8,0.3333333333333333,72,NRG,ES,FALSE
DE,4.6029762811113,9,0.375,72,NRG,ES,FALSE
DK,5.91721979707039,3,0.125,72,NRG,ES,FALSE
EE,5.27832053528197,6,0.25,72,NRG,ES,FALSE
GR,12.6006498678637,20,0.8333333333333334,72,NRG,ES,FALSE
ES,12.0741638437114,21,0.875,72,NRG,ES,FALSE
FI,8.69427804238451,2,0.08333333333333333,72,NRG,ES,FALSE
HR,1.87897621998004,23,0.9583333333333334,72,NRG,ES,FALSE
HU,4.87554020739823,7,0.2916666666666667,72,NRG,ES,FALSE
IE,9.17175986317598,1,0.041666666666666664,72,NRG,ES,FALSE
IT,21.3156076486356,15,0.625,72,NRG,ES,FALSE
LT,5.80649494741126,4,0.16666666666666666,72,NRG,ES,FALSE
LU,3.38640447583932,13,0.5416666666666666,72,NRG,ES,FALSE
LV,11.7481956260256,22,0.9166666666666666,72,NRG,ES,FALSE
NL,4.03664223022863,10,0.4166666666666667,72,NRG,ES,FALSE
NO,0.827203423210575,24,1,72,NRG,ES,FALSE
PL,3.59284791463871,11,0.4583333333333333,72,NRG,ES,FALSE
RO,3.51912888261263,12,0.5,72,NRG,ES,FALSE
SE,5.28924193739226,5,0.20833333333333334,72,NRG,ES,FALSE
SI,2.74397005424957,17,0.7083333333333334,72,NRG,ES,FALSE
SK,2.3931999056826,18,0.75,72,NRG,ES,FALSE
AT,1.59689812728815,13,0.5416666666666666,72,IGD_NNRG,ES,FALSE
BE,0.970373165432493,18,0.75,72,IGD_NNRG,ES,FALSE
BG,2.61644344134916,7,0.2916666666666667,72,IGD_NNRG,ES,FALSE
CZ,2.20232117685852,9,0.375,72,IGD_NNRG,ES,FALSE
DE,1.55921408800845,14,0.5833333333333334,72,IGD_NNRG,ES,FALSE
DK,0.88313584300442,21,0.875,72,IGD_NNRG,ES,FALSE
EE,3.00279520678852,3,0.125,72,IGD_NNRG,ES,FALSE
GR,1.73291760330768,11,0.4583333333333333,72,IGD_NNRG,ES,FALSE
ES,1.72456913120455,12,0.5,72,IGD_NNRG,ES,FALSE
FI,3.46757279950808,1,0.041666666666666664,72,IGD_NNRG,ES,FALSE
HR,2.74725901430315,5,0.20833333333333334,72,IGD_NNRG,ES,FALSE
